MikeFarrellTable
url,Character,Actor,Actor_link,Rank1,Rank2,Rank2_link,Role1,Role2,Role2_link,Appearances
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),Hawkeye Pierce; Hawkeye Pierce,Alan Alda,https://en.wikipedia.org/wiki/Alan_Alda,Captain,Captain,https://en.wikipedia.org/wiki/Captain_(United_States_O-3),Chief surgeon,Chief surgeon,https://en.wikipedia.org/wiki/Surgery,251
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Margaret ""Hot Lips"" Houlihan; Margaret ""Hot Lips"" Houlihan",Loretta Swit,https://en.wikipedia.org/wiki/Loretta_Swit,Major,Major,https://en.wikipedia.org/wiki/Major_(United_States),"Head nurse,
 temporary adjutant",nurse; adjutant,https://en.wikipedia.org/wiki/Nurse; https://en.wikipedia.org/wiki/Adjutant,243
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Max Klinger
 (Recurring seasons 1–3, regular 4–11); Max Klinger; (Recurring seasons 1–3, regular 4–11)",Jamie Farr,https://en.wikipedia.org/wiki/Jamie_Farr,"Corporal,
 later sergeant",Corporal; sergeant,https://en.wikipedia.org/wiki/Corporal; https://en.wikipedia.org/wiki/Sergeant,"Corpsman,
 later company clerk",,,219
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Father Mulcahy
 (recurring seasons 1–4, regular 5–11); Father Mulcahy; (recurring seasons 1–4, regular 5–11)",William Christopher,https://en.wikipedia.org/wiki/William_Christopher,"First lieutenant,
 later captain",First lieutenant; captain,https://en.wikipedia.org/wiki/First_lieutenant; https://en.wikipedia.org/wiki/Captain_(United_States_O-3),Chaplain,Chaplain,https://en.wikipedia.org/wiki/Chaplain,218
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Trapper John McIntyre
 (seasons 1–3); Trapper John McIntyre; (seasons 1–3)",Wayne Rogers,https://en.wikipedia.org/wiki/Wayne_Rogers,Captain,,,Surgeon,,,"72 + 1 uncredited voiceover (""Welcome to Korea"")"
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Henry Blake
 (seasons 1–3); Henry Blake; (seasons 1–3)",McLean Stevenson,https://en.wikipedia.org/wiki/McLean_Stevenson,Lieutenant colonel,Lieutenant colonel,https://en.wikipedia.org/wiki/Lieutenant_colonel_(United_States),"Commanding officer,
 surgeon",Commanding officer,https://en.wikipedia.org/wiki/Commanding_officer,70
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Frank Burns
 (seasons 1–5); Frank Burns; (seasons 1–5)",Larry Linville,https://en.wikipedia.org/wiki/Larry_Linville,"Major,
 later lieutenant colonel (off-screen)",,,"Surgeon, executive officer
 temporary commanding officer (following the death of Henry Blake)",executive officer,https://en.wikipedia.org/wiki/Executive_officer,118
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Radar O'Reilly
 (seasons 1–8); Radar O'Reilly; (seasons 1–8)",Gary Burghoff,https://en.wikipedia.org/wiki/Gary_Burghoff,"Corporal
 (one episode as second lieutenant due to falsified promotion)",second lieutenant,https://en.wikipedia.org/wiki/Second_lieutenant,"Company clerk,
 bugler",bugler,https://en.wikipedia.org/wiki/Bugler,156
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"B. J. Hunnicutt
 (replaced Trapper;
 seasons 4–11); B. J. Hunnicutt; (replaced Trapper;; seasons 4–11)",Mike Farrell,https://en.wikipedia.org/wiki/Mike_Farrell,Captain,,,Surgeon,,,187
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Sherman Potter
 (replaced Henry Blake;
 Seasons 4–11); Sherman Potter; (replaced Henry Blake;; Seasons 4–11)",Harry Morgan,https://en.wikipedia.org/wiki/Harry_Morgan,Colonel,Colonel,https://en.wikipedia.org/wiki/Colonel_(United_States),"Commanding officer (after Lt. Col. Blake),
 surgeon",,,188
https://en.wikipedia.org/wiki/M*A*S*H_(TV_series),"Charles Emerson Winchester III
 (replaced Frank Burns;
 seasons 6–11); Charles Emerson Winchester III; (replaced Frank Burns;; seasons 6–11)",David Ogden Stiers,https://en.wikipedia.org/wiki/David_Ogden_Stiers,Major,,,"Surgeon, executive officer (after Major Burns)",,,137
