phone_networks
url,network,1GB_or_less,2-4GB,5-7GB,8-10GB,Unlimited
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,AT&T GoPhone,$35 (talk and text only),,$45 (6GB),,$65
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,Boost Mobile,,$35 (3GB),,,$50
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,Cricket Wireless,$25 (talk and text only),$30 (2GB),$40 (5GB),,$60
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,MetroPCS,,$30 (2GB),$40 (5GB),,$50
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,Republic Wireless*,"$15 (talk, text and Wi-Fi)
 
 $20 (1GB)","$25 (2GB)
 
 $30 (3GB)
 
 $35 (4GB); $25 (2GB); $30 (3GB); $35 (4GB)","$40 (5GB)
 
 $45 (6GB)
 
 $50 (7GB)",$55 (8GB); $60 (9GB); $65 (10GB),N/A
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,Sprint prepaid,,$45 (4GB),,,$65
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,Straight Talk Wireless,"$30 (1,500 minutes, unlimited texts and 100MB data)",$35 (2GB),,$45 (10GB),$55
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,T-Mobile prepaid,,$45 (4GB),$55 (6GB),,$75
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,Verizon prepaid,$30 (talk and text only),$40 (3GB),$50 (7GB),$60 (10GB),$80
https://www.nerdwallet.com/blog/utilities/straight-talk-cell-phone-plans/,Virgin Mobile,,,,,$50
